Município;UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
Atalaia;AL;2019;10;0;0;0;COUN;FUNDEB;
Atalaia;AL;2019;10;0;0;0;LC 87;FUNDEB;
Atalaia;AL;2019;10;2676.67;112.68;0;ITR;FUNDEB;
Atalaia;AL;2019;10;35634.83;8629.34;0;IPVA;FUNDEB;
Atalaia;AL;2019;10;3314.03;775.74;0;ITCMD;FUNDEB;
Atalaia;AL;2019;10;193275.81;559515.3;0;ICMS;FUNDEB;
Atalaia;AL;2019;10;192456.58;60562.82;0;DEDU;FUNDEB;
Atalaia;AL;2019;10;335504.73;111093.06;0;FPE;FUNDEB;
Atalaia;AL;2019;10;3598.74;2878.08;0;CFM;Royalties;
Barra de Santo Antônio;AL;2019;10;4034.08;0;0;CIDE/Combustível;CIDE-Combustíveis;
Barra de Santo Antônio;AL;2019;10;65317.29;21628;0;FPM;FUNDEB;
Barra de Santo Antônio;AL;2019;10;102.18;41.03;0;IPI-EXP;FUNDEB;
Barra de Santo Antônio;AL;2019;10;0;0;0;COUN;FUNDEB;
Barra de Santo Antônio;AL;2019;10;0;0;0;LC 87;FUNDEB;
Barra de Santo Antônio;AL;2019;10;912.95;38.43;0;ITR;FUNDEB;
Barra de Santo Antônio;AL;2019;10;12154.15;2943.26;0;IPVA;FUNDEB;
Barra de Santo Antônio;AL;2019;10;1130.33;264.59;0;ITCMD;FUNDEB;
Barra de Santo Antônio;AL;2019;10;65921.59;190836.79;0;ICMS;FUNDEB;
Barra de Santo Antônio;AL;2019;10;93726.89;30164.85;0;DEDU;FUNDEB;
Barra de Santo Antônio;AL;2019;10;114432.34;37891.09;0;FPE;FUNDEB;
Barra de São Miguel;AL;2019;10;2298.41;0;0;CIDE/Combustível;CIDE-Combustíveis;
Barra de São Miguel;AL;2019;10;35953.27;11904.93;0;FPM;FUNDEB;
Barra de São Miguel;AL;2019;10;56.25;22.58;0;IPI-EXP;FUNDEB;
Barra de São Miguel;AL;2019;10;0;0;0;COUN;FUNDEB;
Barra de São Miguel;AL;2019;10;0;0;0;LC 87;FUNDEB;
Barra de São Miguel;AL;2019;10;502.52;21.16;0;ITR;FUNDEB;
Barra de São Miguel;AL;2019;10;6690.14;1620.09;0;IPVA;FUNDEB;
Barra de São Miguel;AL;2019;10;622.18;145.64;0;ITCMD;FUNDEB;
Barra de São Miguel;AL;2019;10;36285.91;105044.28;0;ICMS;FUNDEB;
Barra de São Miguel;AL;2019;10;55136.76;18111.68;0;DEDU;FUNDEB;
Barra de São Miguel;AL;2019;10;62988.18;20856.78;0;FPE;FUNDEB;
Batalha;AL;2019;10;4790.98;0;0;CIDE/Combustível;CIDE-Combustíveis;
Batalha;AL;2019;10;79363.89;26279.15;0;FPM;FUNDEB;
Batalha;AL;2019;10;124.16;49.85;0;IPI-EXP;FUNDEB;
Batalha;AL;2019;10;0;0;0;COUN;FUNDEB;
Batalha;AL;2019;10;0;0;0;LC 87;FUNDEB;
Batalha;AL;2019;10;1109.28;46.7;0;ITR;FUNDEB;
Batalha;AL;2019;10;14767.92;3576.21;0;IPVA;FUNDEB;
Batalha;AL;2019;10;1373.42;321.49;0;ITCMD;FUNDEB;
Batalha;AL;2019;10;80098.15;231876.61;0;ICMS;FUNDEB;
Batalha;AL;2019;10;109630.12;36213.65;0;DEDU;FUNDEB;
Batalha;AL;2019;10;139041.23;46039.64;0;FPE;FUNDEB;
Batalha;AL;2019;10;217.77;528.12;0;CFM;Royalties;
Belém;AL;2019;10;1909.71;0;0;CIDE/Combustível;CIDE-Combustíveis;
Belém;AL;2019;10;33372.18;11050.26;0;FPM;FUNDEB;
Belém;AL;2019;10;52.21;20.96;0;IPI-EXP;FUNDEB;
Belém;AL;2019;10;0;0;0;COUN;FUNDEB;
Belém;AL;2019;10;0;0;0;LC 87;FUNDEB;
Belém;AL;2019;10;466.45;19.64;0;ITR;FUNDEB;
Belém;AL;2019;10;6209.86;1503.78;0;IPVA;FUNDEB;
Belém;AL;2019;10;577.52;135.18;0;ITCMD;FUNDEB;
Belém;AL;2019;10;33680.92;97503.12;0;ICMS;FUNDEB;
Belém;AL;2019;10;55422.36;18110.88;0;DEDU;FUNDEB;
Belém;AL;2019;10;58466.25;19359.47;0;FPE;FUNDEB;
Belo Monte;AL;2019;10;2140.44;0;0;CIDE/Combustível;CIDE-Combustíveis;
Belo Monte;AL;2019;10;33774.03;11183.33;0;FPM;FUNDEB;
Belo Monte;AL;2019;10;52.84;21.22;0;IPI-EXP;FUNDEB;
Belo Monte;AL;2019;10;0;0;0;COUN;FUNDEB;
Belo Monte;AL;2019;10;0;0;0;LC 87;FUNDEB;
Belo Monte;AL;2019;10;472.06;19.87;0;ITR;FUNDEB;
Belo Monte;AL;2019;10;6284.63;1521.89;0;IPVA;FUNDEB;
