"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-01-01,"Lagarto","FPM","FPM",2190773.87,847189.3,2052390.04,5090353.21
2023-01-01,"Laranjeiras","FPM","FPM",1022361.14,395355.01,897920.65,2315636.8
2023-01-01,"Macambira","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Malhada dos Bois","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Malhador","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Maruim","FPM","FPM",730257.97,282396.44,769646.26,1782300.67
2023-01-01,"Moita Bonita","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Monte Alegre de Sergipe","FPM","FPM",730257.97,282396.44,641371.89,1654026.3
2023-01-01,"Muribeca","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Neópolis","FPM","FPM",730257.97,282396.44,769646.26,1782300.67
2023-01-01,"Nossa Senhora Aparecida","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Nossa Senhora da Glória","FPM","FPM",1314464.33,508313.58,1154469.39,2977247.3
2023-01-01,"Nossa Senhora das Dores","FPM","FPM",1022361.14,395355.01,897920.65,2315636.8
2023-01-01,"Nossa Senhora de Lourdes","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Nossa Senhora do Socorro","FPM","FPM",4618952.06,1786184.69,4125870.15,10531006.9
2023-01-01,"Pacatuba","FPM","FPM",584206.37,225917.16,641371.89,1451495.42
2023-01-01,"Pedra Mole","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Pedrinhas","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Pinhão","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Pirambu","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Porto da Folha","FPM","FPM",1022361.14,395355.01,897920.65,2315636.8
2023-01-01,"Poço Redondo","FPM","FPM",1168412.74,451834.3,1026195.02,2646442.06
2023-01-01,"Poço Verde","FPM","FPM",876309.55,338875.73,897920.65,2113105.93
2023-01-01,"Propriá","FPM","FPM",1022361.14,395355.01,897920.65,2315636.8
2023-01-01,"Riachuelo","FPM","FPM",438154.78,169437.86,513097.52,1120690.16
2023-01-01,"Riachão do Dantas","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Ribeirópolis","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Rosário do Catete","FPM","FPM",438154.78,169437.86,513097.52,1120690.16
2023-01-01,"Salgado","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Santa Luzia do Itanhy","FPM","FPM",584206.37,225917.16,641371.89,1451495.42
2023-01-01,"Santa Rosa de Lima","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Santana do São Francisco","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Santo Amaro das Brotas","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Simão Dias","FPM","FPM",1314464.33,508313.58,1154469.39,2977247.3
2023-01-01,"Siriri","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"São Cristóvão","FPM","FPM",2190773.87,847189.3,1924115.65,4962078.82
2023-01-01,"São Domingos","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"São Francisco","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"São Miguel do Aleixo","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Telha","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Tobias Barreto","FPM","FPM",1460515.91,564792.87,1411018.14,3436326.92
2023-01-01,"Tomar do Geru","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Umbaúba","FPM","FPM",1022361.07,395355.05,897920.62,2315636.74
2023-02-01,"Amparo do São Francisco","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Aquidabã","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Aracaju","FPM","FPM",37240023.32,3584922.28,8889258.8,49714204.4
2023-02-01,"Arauá","FPM","FPM",1312550.61,126353.09,313308.14,1752211.84
2023-02-01,"Areia Branca","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Barra dos Coqueiros","FPM","FPM",2625101.22,252706.18,626616.26,3504423.66
2023-02-01,"Boquim","FPM","FPM",2296963.56,221117.9,548289.24,3066370.7
2023-02-01,"Brejo Grande","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Campo do Brito","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Canhoba","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Canindé de São Francisco","FPM","FPM",2625101.22,252706.18,626616.26,3504423.66
2023-02-01,"Capela","FPM","FPM",2625101.22,252706.18,626616.26,3504423.66
2023-02-01,"Carira","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Carmópolis","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Cedro de São João","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Cristinápolis","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Cumbe","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Divina Pastora","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Estância","FPM","FPM",3937651.81,379059.27,939924.39,5256635.47
2023-02-01,"Feira Nova","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Frei Paulo","FPM","FPM",1640688.27,157941.36,391635.17,2190264.8
2023-02-01,"Gararu","FPM","FPM",1312550.61,126353.09,313308.14,1752211.84
2023-02-01,"General Maynard","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Graccho Cardoso","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Ilha das Flores","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Indiaroba","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Itabaiana","FPM","FPM",4922064.77,473824.08,1174905.48,6570794.33
2023-02-01,"Itabaianinha","FPM","FPM",2953238.87,284294.45,704943.29,3942476.61
2023-02-01,"Itabi","FPM","FPM",984412.96,94764.82,234981.1,1314158.88
2023-02-01,"Itaporanga D'Ajuda","FPM","FPM",2625101.22,252706.18,626616.26,3504423.66
2023-02-01,"Japaratuba","FPM","FPM",1968825.91,189529.64,469962.2,2628317.75
2023-02-01,"Japoatã","FPM","FPM",1312550.61,126353.09,313308.14,1752211.84
